title,year,description,genre
manchester by the sea,2016,Wujek zostaje zmuszony do opieki nad nastoletnim bratankiem po śmierci jego ojca.,drama
scary movie,2000,Grupa przygłupich nastolatków musi uciekać przed seryjnym mordercą.,comedy
la migliore offerta,2013,"Po śmierci rodziców Claire Ibbetson dziedziczy kolekcję dzieł sztuki o nieoszacowanej wartości. Dziewczyna zleca wycenę spadku panu Oldmanowi, szanowanemu właścicielowi domu aukcyjnego. ",drama
the big short,2015,"W 2008 roku światowe rynki finansowe i bankowe dopadł kryzys gospodarczy, na którym wzbogaciła się jedynie garstka ludzi, przewidująca nadchodzącą katastrofę.",drama
apollo 13,1995,Podczas rutynowego lotu w kosmos na pokładzie statku Apollo 13 następuje wybuch.,drama
breakfast at tiffanys,1961,Początkujący pisarz Paul Varjak wprowadza się do eleganckiej nowojorskiej kamienicy. Jego sąsiadką jest śliczna Holly żyjąca na koszt bogatych adoratorów.,drama
one day,2011,Emma i Dexter postanawiają spotykać się co roku tego samego dnia. Kontynuują swoją przyjaźń przez 20 lat.,drama
sami swoi,1967,Zwaśnione od wielu lat rodziny Pawlaków i Kargulów trafiają z Kresów Wschodnich na Ziemie Odzyskane.,comedy
angels &amp; demons,2009,"Profesor uniwersytetu Harvarda Robert Langdon trafia na trop wielowiekowego bractwa znanego pod nazwą Iluminaci, którzy planują dokonać zemsty podczas trwającego konklawe w Watykanie.",thriller
the conjuring,2013,"Słynna para badaczy zjawisk paranormalnych zostaje poproszona o pomoc rodzinie, którą terroryzuje potężny demon.",horror
indiana jones and the last crusade,1989,"Poszukiwacz przygód rusza tropem bezcennej relikwii, która według legendy zapewnia nieśmiertelność. W wyprawie towarzyszy mu ojciec. ",adventure
memoirs of a geisha,2005,"Dziewięcioletnia Chiyo zostaje sprzedana do domu gejsz. Jako dorosła i sławna jest świadkiem drugiej wojny światowej, która zmienia świat, w którym się wychowywała.",drama
gi-saeng-chung,2019,"Kiedy Ki-woo dostaje pracę jako korepetytor córki zamożnego małżeństwa, wymyśla sposób na zapewnienie zatrudnienia również reszcie swojej rodziny. ",drama
revolutionary road,2008,Małżeństwo mieszkające z dwojgiem dzieci na przedmieściach Connecticut w połowie lat 50. marzy o wyjeździe do Paryża z nadzieją na uwolnienie się od codzienności.,drama
me before you,2016,"Dziewczynę z małego miasteczka zaczyna łączyć więź ze sparaliżowanym mężczyzną, którym się opiekuje.",drama
the others,2001,"Dzieci Grace cierpią z powodu choroby, przez którą nie mogą przebywać na słońcu, dlatego cała rodzina żyje w półmroku. Wkrótce matka odkrywa, że jej dom zamieszkuje ktoś jeszcze. ",thriller
vinci,2004,"Cuma, złodziej antyków, wychodzi z więzienia dzięki pomocy pasera, który zleca mu kradzież ""Damy z łasiczką"" Leonarda da Vinci. Teraz musi skompletować ekipę.",comedy
ostatnia rodzina,2016,"Dziennikarz muzyczny, tłumacz i eseista Tomasz Beksiński wprowadza się do mieszkania obok swoich rodziców. Niebawem wychodzi na jaw, że nad rodziną&nbsp;ciąży fatum. ",biography
the hours,2002,"Virginia Woolf zaczyna pisać ""Panią Dalloway"", która kilka dekad później zmienia życie dwóch innych kobiet: Laury i Clarissy.",drama
oceans eleven,2001,Zaraz po wyjściu z więzienia Danny Ocean planuje napaść jednocześnie na trzy kasyna w Las Vegas. W tym celu kompletuje niezwykłą grupę fachowców. ,comedy
yes man,2008,"Carl postanawia wziąć udział w programie samodoskonalenia się, który polega na mówieniu wszystkim i wszystkiemu „tak”.",comedy
2001: a space odyssey,1968,"Film dzieli się na trzy epizody, których akcja ma miejsce w różnych okresach historycznych i zakątkach wszechświata. ",sci-fi
life of brian,1979,"Brian, rówieśnik Chrystusa, przychodzi na świat w Betlejem i zostaje omyłkowo uznany za Mesjasza. ",comedy
psy,1992,"Franz Maurer, były funkcjonariusz Służby Bezpieczeństwa, zaczyna pracę w policji. Tymczasem jego kolega oferuje swoje usługi przestępcom. ",thriller
poklosie,2012,"Dwóch braci, próbując odgrzebać tajemnicę sprzed lat, staje w poważnym konflikcie z mieszkańcami swojej wsi.",thriller
jagten,2012,"Podopieczna Lucasa oskarża go o molestowanie seksualne. Mężczyzna robi wszystko, aby udowodnić swoją niewinność.&nbsp;",drama
der name der rose,1986,"Rok 1327, franciszkanin William z Baskerville zostaje poproszony o wyjaśnienie okoliczności śmierci zakonnika w benedyktyńskim klasztorze. Kolejne zabójstwa wywołują panikę.",crime
chce sie zyc,2013,Chory na mózgowe porażenie Mateusz podejmuje trudną walkę o godność i prawo do normalnego życia. ,drama
vicky cristina barcelona,2008,"Dwie młode Amerykanki, Vicky i Cristina, przyjeżdżają na wakacje do Barcelony. Obie dają się wciągnąć w romantyczną i seksualną przygodę z poznanym tam Juanem Antonio.",comedy
the age of adaline,2015,"Historia urodzonej na początku XX wieku młodej kobiety, która wskutek wypadku przestaje się starzeć. Gdy poznaje mężczyznę, zaczyna rozważać wyjawienie sekretu swojej nieśmiertelności.",drama
the perks of being a wallflower,2012,Zamknięty w sobie Charlie zaczyna naukę w liceum. Zaprzyjaźnia się z uczniami ostatniej klasy. ,drama
the believer,2001,"Podczas rozważań nad Torą student żydowskiej uczelni dochodzi do wniosku, że Bóg jest okrutny. Chłopak staje się antysemitą i dołącza do skinheadów.",drama
the big lebowski,1998,"Jeff ""Koleś"" Lebowski zostaje napadnięty przez gangsterów, którzy pomylili go z milionerem o tym samym nazwisku. ",comedy
the shape of water,2017,"Niema Elisa Esposito pracuje jako woźna w tajnym rządowym laboratorium. Jej życie ulega nagłej zmianie, gdy odkrywa pilnie strzeżony sekret.",fantasy
the intern,2015,"Znudzony i zmęczony emeryturą wdowiec Ben postanawia zmienić swoje życie, rozpoczynając staż w sklepie internetowym z odzieżą.",comedy
the boondock saints,1999,Pracujący w jednej z bostońskich rzeźni bracia McManus wypowiadają bezkompromisową wojnę przestępczości. Ich działania zwracają uwagę specjalnego agenta FBI oraz członków lokalnej mafii. ,thriller
kingdom of heaven,2005,"Życie pogrążonego w rozpaczy po stracie żony i syna kowala Baliana odmienia wizyta jego ojca, słynnego rycerza Godfryda z Ibelinu.",drama
were the millers,2013,Okradziony z towaru diler David musi w ramach zadośćuczynienia przywieźć z Meksyku dużą dostawę narkotyków. Dla niepoznaki organizuje więc wymyśloną rodzinę. ,comedy
atonement,2007,Lato 1935 roku. 13-letnia Briony Tallis podgląda scenę miłosną między jej siostrą a synem służącej. Interpretacja tego wydarzenia doprowadzi do tragedii.,drama
nocturnal animals,2016,"Właścicielka galerii otrzymuje powieść autorstwa byłego męża. Kobieta jest porażona brutalnym thrillerem, w którym odnajduje nawiązania do swojej przeszłości.",thriller
collateral beauty,2016,"Osobista tragedia sprawia, że pewien nowojorski specjalista od reklamy popada w głęboką depresję. Jego znajomi opracowują niekonwencjonalny plan, by wyleczyć go z choroby.",drama
national treasure,2004,Ben Gates trafia na trop największego skarbu w dziejach ludzkości. ,adventure
contratiempo,2016,"Po przebudzeniu się w pokoju hotelowym obok martwej kochanki młody biznesmen zatrudnia wybitną adwokat, aby ustalić, do czego tak naprawdę doszło.",crime
wojna polsko-ruska,2009,"Zbuntowany chłopak, Andrzej, spotyka na swojej drodze niezwykłe kobiety. ",drama
le grand bleu,1988,Jacques i jego przyjaciel z dzieciństwa Enzo rywalizują o mistrzostwo w nurkowaniu bez butli. Obaj chcą pobić kolejny rekord.,drama
"love, rosie",2014,"Rosie i Alex znają się od dzieciństwa. Gdy chłopak wyjeżdża z Dublina na studia do Ameryki, ich wieloletnią przyjaźń czekają ciężkie chwile.",comedy
the ring,2002,"Reporterka trafia na ślad kasety wideo, z powodu której giną kolejni ludzie. ",horror
zimna wojna,2018,Utalentowany kompozytor zakochuje się w młodej członkini zespołu ludowego. Wielkie uczucie utrudniają jednak realia powojennego bloku komunistycznego. ,drama
friends with benefits,2011,"Para przyjaciół postanawia uprawiać seks bez zobowiązań. Sprawy komplikują się, gdy jedno z bohaterów zaczyna się angażować emocjonalnie.",comedy
the village,2004,"Kiedy Lucius łamie zakaz i wchodzi do lasu, gdzie żyją zwierzęta-bestie, te przystępują do ataku na osadę.",thriller
dracula,1992,"Rumuński książę, a w rzeczywistości wampir Vlad Dracula wyjeżdża do Londynu, gdzie mieszka kobieta przypominająca mu jego tragicznie utraconą ukochaną. ",horror
brothers,2009,"Gdy żołnierz walczący w Afganistanie zostaje uznany za zmarłego, jego młodszy brat pociesza szwagierkę i zbliża się do niej. Niedługo później wojskowy nieoczekiwanie powraca. ",drama
fifty shades of grey,2015,"Studentka literatury poznaje przystojnego miliardera, z którym zaczyna ją łączyć nietypowa więź.",drama
boyhood,2014,"Opowieść ukazuje życie Masona i otaczających go osób, począwszy od lat 5 do 18. urodzin chłopca. ",drama
"il buono, il brutto, il cattivo.",1966,Dziki Zachód. Brzydki i Dobry usiłują dotrzeć do ukrytego przez wojsko skarbu. Po piętach depcze im Zły.,western
youth,2015,"Fred i Mick, przyjaciele, którzy niebawem przekroczą próg osiemdziesięciu lat, wyjeżdżają do hotelu pod Alpami, gdzie wspominają swoją przeszłość. ",drama
p.s. i love you,2007,"Po tragicznej śmierci męża Holly nie może dojść do siebie. Wszystko zmienia się, gdy kobieta znajduje zaadresowane do niej listy od ukochanego.",drama
john q,2002,"Ubogi mężczyzna, którego syn jest śmiertelnie chory, terroryzuje oddział szpitala, żeby wymusić przeprowadzenie operacji, jaka może uratować życie jego dziecka.",drama
spectre,2015,James Bond stara się odkryć prawdę dotyczącą złowrogiej organizacji WIDMO. Tymczasem w Londynie M toczy polityczną batalię o przyszłość MI6.,thriller
the bourne ultimatum,2007,"Jason Bourne wpada na trop tajnego programu CIA ""Blackbriar"", który ma związek z mroczną przeszłością agenta.",thriller
the bridges of madison county,1995,"Fotograf przybywa do hrabstwa Madison, by zrobić zdjęcia krytych mostów. Poznaje gospodynię domową, której rodzina wyjechała na festyn i nawiązuje z nią romans. ",drama
the vow,2012,"Żona Leo w wyniku wypadku samochodowego traci pamięć. Bohater robi wszystko, by znów się w nim zakochała. ",drama
the girl on the train,2016,"Rachel codziennie podróżuje do pracy tą samą trasą kolejową, obserwując przydrożne domy. Gdy mieszkanka jednego z nich znika, kobieta postanawia zeznać, co widziała.",thriller
the proposal,2009,"Margaret grozi deportacja, więc musi szybko wziąć z kimś ślub. Postanawia zaszantażować swojego asystenta.",comedy
saw,2004,"Dwóch mężczyzn budzi się przykutych do zardzewiałej rury w piwnicy. Zdają sobie sprawę, że są uczestnikami krwawej gry szaleńca.",horror
pod mocnym aniolem,2014,"Jerzy, pisarz i alkoholik, pod wpływem miłości do kobiety próbuje wyjść z nałogu.",drama
get out,2017,Czarnoskóry mężczyzna udaje się ze swoją białą partnerką do posiadłości jej rodziców. Panująca tam atmosfera wprawia go w niepokój. ,horror
ida,2013,"Przed złożeniem ślubów zakonnych Anna zgodnie z zaleceniem matki przełożonej odwiedza swoją ciotkę. Razem ruszają w podróż, która pomoże im obu odkryć, kim są. ",drama
pretty woman,1990,Biznesmen Edward płaci Vivian za tydzień spędzony w jej towarzystwie. ,comedy
argo,2012,Film oparty na prawdziwych wydarzeniach. Historia tajnej operacji ratowania sześciu amerykańskich zakładników porwanych w Teheranie w 1979 roku.,thriller
moonlight,2016,Czarnoskóry chłopak próbuje się odnaleźć w niebezpiecznym świecie narkotyków i przeciwstawić życiowym problemom.,drama
there will be blood,2007,"Podczas odwiertów prowadzonych nieopodal małego kalifornijskiego miasteczka cyniczny nafciarz, Daniel Plainview, natrafia na ogromne źródło ropy. Wkrótce wchodzi w konflikt z kaznodzieją rządzącym lokalną społecznością. ",drama
wanted,2008,"Sfrustrowany pracownik biura dostaje szansę na lepsze życie. Decyduje się dołączyć do bractwa elitarnych zabójców, którego członkiem był jego zaginiony ojciec.",action
"job, czyli ostatnia szara komorka",2006,Trzech przyjaciół-nieudaczników zmaga się z trudnościami życiowymi. Ukojenie w ciężkich chwilach przynosi im oglądanie ulubionych programów TV. ,comedy
dear john,2010,Ekranizacja książki Nicolasa Sparksa. Młody mężczyzna opuszcza swoją ukochaną i wstępuje w szeregi armii amerykańskiej.,drama
call me by your name,2017,"Nastoletni chłopak zakochuje się w gościu, który przyjechał na wakacje do jego rodziców. ",drama
